Date,Open,High,Low,Close,Adj Close,Volume
2017-11-15,8.450000,8.527000,8.422000,8.521000,8.124397,18323436
2017-11-16,8.587000,8.688000,8.541000,8.567000,8.168258,14880528
2017-11-17,8.589000,8.593000,8.482000,8.532000,8.134886,17549337
2017-11-20,8.532000,8.656000,8.507000,8.577000,8.177792,15149259
2017-11-21,8.567000,8.608000,8.494000,8.516000,8.119630,16727367
2017-11-22,8.525000,8.580000,8.497000,8.497000,8.101515,12675455
2017-11-23,8.500000,8.585000,8.497000,8.523000,8.126304,11709106
2017-11-24,8.531000,8.580000,8.502000,8.537000,8.139653,13746370
2017-11-27,8.530000,8.599000,8.498000,8.532000,8.134886,11257184
2017-11-28,8.548000,8.665000,8.517000,8.642000,8.239766,9825940
2017-11-29,8.700000,8.731000,8.632000,8.662000,8.258835,19741424
2017-11-30,8.660000,8.752000,8.605000,8.605000,8.204487,84457606
2017-12-01,8.648000,8.651000,8.542000,8.562000,8.163490,101502122
2017-12-04,8.643000,8.657000,8.562000,8.573000,8.173977,112586585
2017-12-05,8.588000,8.614000,8.520000,8.560000,8.161583,108858307
2017-12-06,8.505000,8.563000,8.444000,8.556000,8.157768,36655523
2017-12-07,8.544000,8.691000,8.503000,8.626000,8.224511,145265378
2017-12-08,8.672000,8.688000,8.626000,8.626000,8.224511,37037251
2017-12-11,8.585000,8.605000,8.526000,8.594000,8.194000,20643006
2017-12-12,8.500000,8.500000,8.352000,8.394000,8.194000,98897451
2017-12-13,8.379000,8.432000,8.347000,8.347000,8.347000,40003277
2017-12-14,8.353000,8.376000,8.220000,8.239000,8.239000,116125279
2017-12-15,8.220000,8.299000,8.210000,8.251000,8.251000,99370371
2017-12-18,8.288000,8.387000,8.279000,8.361000,8.361000,71821224
2017-12-19,8.361000,8.417000,8.330000,8.391000,8.391000,27536792
2017-12-20,8.370000,8.406000,8.267000,8.324000,8.324000,40809000
2017-12-21,8.260000,8.363000,8.233000,8.363000,8.363000,24691690
2017-12-22,8.230000,8.287000,8.205000,8.255000,8.255000,13475665
2017-12-27,8.255000,8.317000,8.222000,8.234000,8.234000,13949997
2017-12-28,8.225000,8.240000,8.160000,8.195000,8.195000,12626440
2017-12-29,8.172000,8.189000,8.100000,8.125000,8.125000,17154697
2018-01-02,8.125000,8.226000,8.125000,8.191000,8.191000,14540894
2018-01-03,8.222000,8.227000,8.132000,8.166000,8.166000,15847979
2018-01-04,8.200000,8.327000,8.178000,8.295000,8.295000,14414041
2018-01-05,8.273000,8.366000,8.254000,8.358000,8.358000,12098837
2018-01-08,8.369000,8.406000,8.315000,8.370000,8.370000,13836190
2018-01-09,8.311000,8.414000,8.310000,8.373000,8.373000,14468494
2018-01-10,8.367000,8.396000,8.244000,8.274000,8.274000,13971591
2018-01-11,8.304000,8.308000,8.158000,8.180000,8.180000,14178705
2018-01-12,8.213000,8.254000,8.183000,8.199000,8.199000,10073627
2018-01-15,8.203000,8.270000,8.169000,8.251000,8.251000,13600824
2018-01-16,8.279000,8.407000,8.260000,8.316000,8.316000,35720825
2018-01-17,8.286000,8.312000,8.239000,8.257000,8.257000,11738279
2018-01-18,8.261000,8.270000,8.182000,8.215000,8.215000,27638971
2018-01-19,8.180000,8.287000,8.137000,8.258000,8.258000,20231749
2018-01-22,8.284000,8.460000,8.265000,8.417000,8.417000,26179263
2018-01-23,8.490000,8.599000,8.465000,8.473000,8.473000,39481599
2018-01-24,8.494000,8.513000,8.400000,8.423000,8.423000,13826513
2018-01-25,8.420000,8.580000,8.373000,8.409000,8.409000,18572401
2018-01-26,8.406000,8.538000,8.370000,8.503000,8.503000,16760438
2018-01-29,8.542000,8.543000,8.408000,8.481000,8.481000,16798967
2018-01-30,8.399000,8.457000,8.330000,8.344000,8.344000,19455042
2018-01-31,8.348000,8.395000,8.214000,8.253000,8.253000,17237569
2018-02-01,8.310000,8.330000,8.153000,8.197000,8.197000,15770460
2018-02-02,8.192000,8.200000,8.008000,8.052000,8.052000,25409210
2018-02-05,8.000000,8.017000,7.895000,7.895000,7.895000,21076623
2018-02-06,7.720000,7.850000,7.654000,7.693000,7.693000,34898209
2018-02-07,7.809000,7.920000,7.714000,7.885000,7.885000,48085140
2018-02-08,7.877000,7.877000,7.622000,7.656000,7.656000,35340746
2018-02-09,7.697000,7.712000,7.491000,7.522000,7.522000,28691085
2018-02-12,7.610000,7.674000,7.570000,7.597000,7.597000,16159515
2018-02-13,7.612000,7.614000,7.461000,7.487000,7.487000,17189005
2018-02-14,7.506000,7.599000,7.463000,7.474000,7.474000,32240254
2018-02-15,7.521000,7.562000,7.451000,7.489000,7.489000,13746522
2018-02-16,7.549000,7.653000,7.540000,7.636000,7.636000,18339270
2018-02-19,7.662000,7.713000,7.560000,7.610000,7.610000,14702847
2018-02-20,7.610000,7.690000,7.603000,7.654000,7.654000,13675045
2018-02-21,7.700000,7.712000,7.585000,7.640000,7.640000,14451552
2018-02-22,7.670000,7.979000,7.616000,7.930000,7.930000,32231316
2018-02-23,7.943000,8.045000,7.922000,8.021000,8.021000,23685513
2018-02-26,8.090000,8.124000,7.997000,8.090000,8.090000,16180800
2018-02-27,8.110000,8.130000,7.969000,8.020000,8.020000,17936473
2018-02-28,7.966000,8.023000,7.948000,7.993000,7.993000,26174183
2018-03-01,7.943000,7.992000,7.869000,7.947000,7.947000,15981530
2018-03-02,7.914000,7.951000,7.784000,7.832000,7.832000,65545225
2018-03-05,7.803000,7.951000,7.783000,7.929000,7.929000,29282818
2018-03-06,8.000000,8.056000,7.935000,7.950000,7.950000,12646929
2018-03-07,7.899000,7.971000,7.875000,7.902000,7.902000,18854551
2018-03-08,7.940000,8.067000,7.881000,8.065000,8.065000,18488470
2018-03-09,8.040000,8.184000,8.040000,8.170000,8.170000,16331823
